popularity,infinitivo,translation_ru,Presente__1s,Presente__2s,Presente__3s,Presente__1p,Presente__2p,Presente__3p,FuturoSimple__1s,FuturoSimple__2s,FuturoSimple__3s,FuturoSimple__1p,FuturoSimple__2p,FuturoSimple__3p,PreteritoIndefinido__1s,PreteritoIndefinido__2s,PreteritoIndefinido__3s,PreteritoIndefinido__1p,PreteritoIndefinido__2p,PreteritoIndefinido__3p
1,ser,быть,soy,eres,es,somos,sois,son,seré,serás,será,seremos,seréis,serán,fui,fuiste,fue,fuimos,fuisteis,fueron
2,estar,быть,estoy,estás,está,estamos,estáis,están,estaré,estarás,estará,estaremos,estaréis,estarán,estuve,estuviste,estuvo,estuvimos,estuvisteis,estuvieron
3,tener,иметь,tengo,tienes,tiene,tenemos,tenéis,tienen,tendré,tendrás,tendrá,tendremos,tendréis,tendrán,tuve,tuviste,tuvo,tuvimos,tuvisteis,tuvieron
4,hacer,делать,hago,haces,hace,hacemos,hacéis,hacen,haré,harás,hará,haremos,haréis,harán,hice,hiciste,hizo,hicimos,hicisteis,hicieron
5,poder,мочь,puedo,puedes,puede,podemos,podéis,pueden,podré,podrás,podrá,podremos,podréis,podrán,pude,pudiste,pudo,pudimos,pudisteis,pudieron
6,decir,говорить,digo,dices,dice,decimos,decís,dicen,diré,dirás,dirá,diremos,diréis,dirán,dije,dijiste,dijo,dijimos,dijisteis,dijeron
7,ir,идти,voy,vas,va,vamos,vais,van,iré,irás,irá,iremos,iréis,irán,fui,fuiste,fue,fuimos,fuisteis,fueron
8,ver,видеть,veo,ves,ve,vemos,veis,ven,veré,verás,verá,veremos,veréis,verán,vi,viste,vio,vimos,visteis,vieron
9,dar,давать,doy,das,da,damos,dais,dan,daré,darás,dará,daremos,daréis,darán,di,diste,dio,dimos,disteis,dieron
10,saber,знать,sé,sabes,sabe,sabemos,sabéis,saben,sabré,sabrás,sabrá,sabremos,sabréis,sabrán,supe,supiste,supo,supimos,supisteis,supieron
11,querer,хотеть,quiero,quieres,quiere,queremos,queréis,quieren,querré,querrás,querrá,querremos,querréis,querrán,quise,quisiste,quiso,quisimos,quisisteis,quisieron
12,llegar,прибывать,llego,llegas,llega,llegamos,llegáis,llegan,llegaré,llegarás,llegará,llegaremos,llegaréis,llegarán,llegué,llegaste,llegó,llegamos,llegasteis,llegaron
13,pasar,проходить,paso,pasas,pasa,pasamos,pasáis,pasan,pasaré,pasarás,pasará,pasaremos,pasaréis,pasarán,pasé,pasaste,pasó,pasamos,pasasteis,pasaron
14,deber,быть должным,debo,debes,debe,debemos,debéis,deben,deberé,deberás,deberá,deberemos,deberéis,deberán,debí,debiste,debió,debimos,debisteis,debieron
15,poner,класть,pongo,pones,pone,ponemos,ponéis,ponen,pondré,pondrás,pondrá,pondremos,pondréis,pondrán,puse,pusiste,puso,pusimos,pusisteis,pusieron
16,parecer,казаться,parezco,pareces,parece,parecemos,parecéis,parecen,pareceré,parecerás,parecerá,pareceremos,pareceréis,parecerán,parecí,pareciste,pareció,parecimos,parecisteis,parecieron
17,quedar,оставаться,quedo,quedas,queda,quedamos,quedáis,quedan,quedaré,quedarás,quedará,quedaremos,quedaréis,quedarán,quedé,quedaste,quedó,quedamos,quedasteis,quedaron
18,hablar,говорить,hablo,hablas,habla,hablamos,habláis,hablan,hablaré,hablarás,hablará,hablaremos,hablaréis,hablarán,hablé,hablaste,habló,hablamos,hablasteis,hablaron
19,llevar,нести,llevo,llevas,lleva,llevamos,lleváis,llevan,llevaré,llevarás,llevará,llevaremos,llevaréis,llevarán,llevé,llevaste,llevó,llevamos,llevasteis,llevaron
20,dejar,оставлять,dejo,dejas,deja,dejamos,dejáis,dejan,dejaré,dejarás,dejará,dejaremos,dejaréis,dejarán,dejé,dejaste,dejó,dejamos,dejasteis,dejaron
21,seguir,следовать,sigo,sigues,sigue,seguimos,seguís,siguen,seguiré,seguirás,seguirá,seguiremos,seguiréis,seguirán,seguí,seguiste,siguió,seguimos,seguisteis,siguieron
22,encontrar,находить,encuentro,encuentras,encuentra,encontramos,encontráis,encuentran,encontraré,encontrarás,encontrará,encontraremos,encontraréis,encontrarán,encontré,encontraste,encontró,encontramos,encontrasteis,encontraron
23,llamar,звать,llamo,llamas,llama,llamamos,llamáis,llaman,llamaré,llamarás,llamará,llamaremos,llamaréis,llamarán,llamé,llamaste,llamó,llamamos,llamasteis,llamaron
24,venir,приходить,vengo,vienes,viene,venimos,venís,vienen,vendré,vendrás,vendrá,vendremos,vendréis,vendrán,vine,viniste,vino,vinimos,vinisteis,vinieron
25,pensar,думать,pienso,piensas,piensa,pensamos,pensáis,piensan,pensaré,pensarás,pensará,pensaremos,pensaréis,pensarán,pensé,pensaste,pensó,pensamos,pensasteis,pensaron
26,tomar,брать,tomo,tomas,toma,tomamos,tomáis,toman,tomaré,tomarás,tomará,tomaremos,tomaréis,tomarán,tomé,tomaste,tomó,tomamos,tomasteis,tomaron
27,conocer,знать,conozco,conoces,conoce,conocemos,conocéis,conocen,conoceré,conocerás,conocerá,conoceremos,conoceréis,conocerán,conocí,conociste,conoció,conocimos,conocisteis,conocieron
28,resultar,оказываться,resulto,resultas,resulta,resultamos,resultáis,resultan,resultaré,resultarás,resultará,resultaremos,resultaréis,resultarán,resulté,resultaste,resultó,resultamos,resultasteis,resultaron
29,recibir,получать,recibo,recibes,recibe,recibimos,recibís,reciben,recibiré,recibirás,recibirá,recibiremos,recibiréis,recibirán,recibí,recibiste,recibió,recibimos,recibisteis,recibieron
30,vivir,жить,vivo,vives,vive,vivimos,vivís,viven,viviré,vivirás,vivirá,viviremos,viviréis,vivirán,viví,viviste,vivió,vivimos,vivisteis,vivieron
31,creer,верить,creo,crees,cree,creemos,creéis,creen,creeré,creerás,creerá,creeremos,creeréis,creerán,creí,creíste,creyó,creímos,creísteis,creyeron
32,aceptar,принимать,acepto,aceptas,acepta,aceptamos,aceptáis,aceptan,aceptaré,aceptarás,aceptará,aceptaremos,aceptaréis,aceptarán,acepté,aceptaste,aceptó,aceptamos,aceptasteis,aceptaron
33,conseguir,достигать,consigo,consigues,consigue,conseguimos,conseguís,consiguen,conseguiré,conseguirá,conseguirá,conseguiremos,conseguirá,conseguirán,conseguí,conseguiste,consiguió,conseguimos,conseguisteis,consiguieron
34,entrar,входить,entro,entras,entra,entramos,entráis,entran,entraré,entrarás,entrará,entraremos,entraréis,entrarán,entré,entraste,entró,entramos,entrasteis,entraron
35,salir,выходить,salgo,sales,sale,salimos,salís,salen,saldré,saldrás,saldrá,saldremos,saldréis,saldrán,salí,saliste,salió,salimos,salisteis,salieron
36,volver,возвращаться,vuelvo,vuelves,vuelve,volvemos,volvéis,vuelven,volveré,volverás,volverá,volveremos,volveréis,volverán,volví,volviste,volvió,volvimos,volvisteis,volvieron
37,presentar,представлять,presento,presentas,presenta,presentamos,presentáis,presentan,presentaré,presentarás,presentará,presentaremos,presentaréis,presentarán,presenté,presentaste,presentó,presentamos,presentasteis,presentaron
38,considerar,считать,considero,consideras,considera,consideramos,consideráis,consideran,consideraré,considerarás,considerará,consideraremos,consideraréis,considerarán,consideré,consideraste,consideró,consideramos,considerasteis,consideraron
39,perder,терять,pierdo,pierdes,pierde,perdemos,perdéis,pierden,perderé,perderás,perderá,perderemos,perderéis,perderán,perdí,perdiste,perdió,perdimos,perdisteis,perdieron
40,significar,значить,significo,significas,significa,significamos,significáis,significan,significaré,significarás,significará,significaremos,significaréis,significarán,signifiqué,significaste,significó,significamos,significasteis,significaron
41,abrir,открывать,abro,abres,abre,abrimos,abrís,abren,abriré,abrirás,abrirá,abriremos,abriréis,abrirán,abrí,abriste,abrió,abrimos,abristeis,abrieron
42,cumplir,исполнять,cumplo,cumples,cumple,cumplimos,cumplís,cumplen,cumpliré,cumplirás,cumplirá,cumpliremos,cumpliréis,cumplirán,cumplí,cumpliste,cumplió,cumplimos,cumplisteis,cumplieron
43,ofrecer,предлагать,ofrezco,ofreces,ofrece,ofrecemos,ofrecéis,ofrecen,ofreceré,ofrecerás,ofrecerá,ofreceremos,ofreceréis,ofrecerán,ofrecí,ofreciste,ofreció,ofrecimos,ofrecisteis,ofrecieron
44,mandar,посылать,mando,mandas,manda,mandamos,mandáis,mandan,mandaré,mandarás,mandará,mandaremos,mandaréis,mandarán,mandé,mandaste,mandó,mandamos,mandasteis,mandaron
45,necesitar,нуждаться,necesito,necesitas,necesita,necesitamos,necesitáis,necesitan,necesitaré,necesitarás,necesitará,necesitaremos,necesitaréis,necesitarán,necesité,necesitaste,necesitó,necesitamos,necesitasteis,necesitaron
46,mantener,поддерживать,mantengo,mantienes,mantiene,mantenemos,mantenéis,mantienen,mantendré,mantendrás,mantendrá,mantendremos,mantendréis,mantendrán,mantuvé,mantuviste,mantuvo,mantuvimos,mantuvisteis,mantuvieron
47,terminar,заканчивать,termino,terminas,termina,terminamos,termináis,terminan,terminaré,terminarás,terminará,terminaremos,terminaréis,terminarán,terminé,terminaste,terminó,terminamos,terminasteis,terminaron
48,ocurrir,происходить,ocurro,ocurres,ocurre,ocurrimos,ocurrís,ocurren,ocurriré,ocurrirás,ocurrirá,ocurriremos,ocurriréis,ocurrirán,ocurrí,ocurriste,ocurrió,ocurrimos,ocurristeis,ocurrieron
49,convertir,превращать,convierto,conviertes,convierte,convertimos,convertís,convierten,convertiré,convertirás,convertirá,convertiremos,convertiréis,convertirán,convertí,convertiste,convirtió,convertimos,convertisteis,convirtieron
50,ganar,выигрывать,gano,ganas,gana,ganamos,ganáis,ganan,ganaré,ganarás,ganará,ganaremos,ganaréis,ganarán,gané,ganaste,ganó,ganamos,ganasteis,ganaron
51,formar,формировать,formo,formas,forma,formamos,formáis,forman,formaré,formarás,formará,formaremos,formaréis,formarán,formé,formaste,formó,formamos,formasteis,formaron
52,traer,приносить,traigo,traes,trae,traemos,traéis,traen,traeré,traerás,traerá,traeremos,traeréis,traerán,traje,trajiste,trajo,trajimos,trajisteis,trajeron
53,partir,делить,parto,partes,parte,partimos,partís,parten,partiré,partirás,partirá,partiremos,partiréis,partirán,partí,partiste,partió,partimos,partisteis,partieron
54,empezar,начинать,empiezo,empiezas,empieza,empezamos,empezáis,empiezan,empezaré,empezarás,empezará,empezaremos,empezaréis,empiezan,empecé,empezaste,empezó,empezamos,empezasteis,empezaron
55,existir,существовать,existo,existes,existe,existimos,existís,existen,existiré,existirás,existirá,existiremos,existiréis,existirán,existí,exististe,existió,existimos,exististeis,existieron
56,comenzar,начинать,comienzo,comienzas,comienza,comenzamos,comenzáis,comienzan,comenzaré,comenzarás,comenzará,comenzaremos,comenzaréis,comenzarán,comencé,comenzaste,comenzó,comenzamos,comenzasteis,comenzaron
57,servir,служить,sirvo,sirves,sirve,servimos,servís,sirven,serviré,servirás,servirá,serviremos,serviréis,servirán,serví,serviste,sirvió,servimos,servisteis,sirvieron
58,sacar,вынимать,saco,sacas,saca,sacamos,sacáis,sacan,sacaré,sacarás,sacará,sacaremos,sacaréis,sacarán,saqué,sacaste,sacó,sacamos,sacasteis,sacaron
59,negar,отрицать,niego,niegas,niega,negamos,negáis,niegan,negaré,negarás,negará,negaremos,negaréis,negarán,negué,negaste,negó,negamos,negasteis,negaron
60,indicar,указывать,indico,indicas,indica,indicamos,indicáis,indican,indicaré,indicarás,indicará,indicaremos,indicaréis,indicarán,indiqué,indicaste,indicó,indicamos,indicasteis,indicaron
61,alcanzar,достигать,alcanzo,alcanzas,alcanza,alcanzamos,alcanzáis,alcanzan,alcanzaré,alcanzarás,alcanzará,alcanzaremos,alcanzaréis,alcanzarán,alcancé,alcanzaste,alcanzó,alcanzamos,alcanzasteis,alcanzaron
62,escribir,писать,escribo,escribes,escribe,escribimos,escribís,escriben,escribiré,escribirás,escribirá,escribiremos,escribiréis,escribirán,escribí,escribiste,escribió,escribimos,escribisteis,escribieron
63,buscar,искать,busco,buscas,busca,buscamos,buscáis,buscan,buscaré,buscarás,buscará,buscaremos,buscaréis,buscarán,busqué,buscaste,buscó,buscamos,buscasteis,buscaron
64,responder,отвечать,respondo,respondes,responde,respondemos,respondéis,responden,responderé,responderás,responderá,responderemos,responderéis,responderán,respondí,respondiste,respondió,respondimos,respondisteis,respondieron
65,superar,превосходить,supero,superas,supera,superamos,superáis,superan,superaré,superarás,superará,superaremos,superaréis,superarán,superé,superaste,superó,superamos,superasteis,superaron
66,suponer,предполагать,supongo,supones,supone,suponemos,suponéis,suponen,supondré,supondrás,supondrá,supondremos,supondréis,supondrán,supuse,supusiste,supuso,supusimos,supusisteis,supusieron
67,evitar,избегать,evito,evitas,evita,evitamos,evitáis,evitan,evitaré,evitarás,evitará,evitaremos,evitaréis,evitarán,evité,evitaste,evitó,evitamos,evitasteis,evitaron
68,determinar,определять,determino,determinas,determina,determinamos,determináis,determinan,determinaré,determinarás,determinará,determinaremos,determinaréis,determinarán,determiné,determinaste,determinó,determinamos,determinasteis,determinaron
69,tirar,бросать,tiro,tiras,tira,tiramos,tiráis,tiran,tiraré,tirarás,tirará,tiraremos,tiraréis,tirarán,tiré,tiraste,tiró,tiramos,tirasteis,tiraron
70,entregar,доставлять,entrego,entregas,entrega,entregamos,entregáis,entregan,entregaré,entregarás,entregará,entregaremos,entregaréis,entregarán,entregué,entregaste,entregó,entregamos,entregasteis,entregaron
71,establecer,устанавливать,establezco,estableces,establece,establecemos,establecéis,establecen,estableceré,establecerás,establecerá,estableceremos,estableceréis,establecerán,establecí,estableciste,estableció,establecimos,establecisteis,establecieron
72,pedir,просить,pido,pides,pide,pedimos,pedís,piden,pediré,pedirás,pedirá,pediremos,pediréis,pedirán,pedí,pediste,pidió,pedimos,pedisteis,pidieron
73,permitir,разрешать,permito,permites,permite,permitimos,permitís,permiten,permitiré,permitirás,permitirá,permitiremos,permitiréis,permitirán,permití,permitiste,permitió,permitimos,permitisteis,permitieron
74,depender,зависеть,dependo,dependes,depende,dependemos,dependéis,dependen,dependeré,dependerás,dependerá,dependeremos,dependeréis,dependerán,dependí,dependiste,dependió,dependimos,dependisteis,dependieron
75,desarrollar,развивать,desarrollo,desarrollas,desarrolla,desarrollamos,desarrolláis,desarrollan,desarrollaré,desarrollarás,desarrollará,desarrollaremos,desarrollaréis,desarrollarán,desarrollé,desarrollaste,desarrolló,desarrollamos,desarrollasteis,desarrollaron
76,caer,падать,caigo,caes,cae,caemos,caéis,caen,caeré,caerás,caerá,caeremos,caeréis,caerán,caí,caíste,cayó,caímos,caísteis,cayeron
77,levantar,поднимать,levanto,levantas,levanta,levantamos,levantáis,levantan,levantaré,levantarás,levantará,levantaremos,levantaréis,levantarán,levanté,levantaste,levantó,levantamos,levantasteis,levantaron
78,optar,выбирать,opto,optas,opta,optamos,optáis,optan,optaré,optarás,optará,optaremos,optaréis,optarán,opté,optaste,optó,optamos,optasteis,optaron
79,dirigir,управлять,dirijo,diriges,dirige,dirigimos,dirigís,dirigen,dirigiré,dirigirás,dirigirá,dirigiremos,dirigiréis,dirigirán,dirigí,dirigiste,dirigió,dirigimos,dirigisteis,dirigieron
80,utilizar,использовать,utilizo,utilizas,utiliza,utilizamos,utilizáis,utilizan,utilizaré,utilizarás,utilizará,utilizaremos,utilizaréis,utilizarán,utilicé,utilizaste,utilizó,utilizamos,utilizasteis,utilizaron
81,contar,считать,cuento,cuentas,cuenta,contamos,contáis,cuentan,contaré,contarás,contará,contaremos,contaréis,contarán,conté,contaste,contó,contamos,contasteis,contaron
82,cambiar,менять,cambio,cambias,cambia,cambiamos,cambiáis,cambian,cambiaré,cambiarás,cambiará,cambiaremos,cambiaréis,cambiarán,cambié,cambiaste,cambió,cambiamos,cambiasteis,cambiaron
83,ayudar,помогать,ayudo,ayudas,ayuda,ayudamos,ayudáis,ayudan,ayudaré,ayudarás,ayudará,ayudaremos,ayudaréis,ayudarán,ayudé,ayudaste,ayudó,ayudamos,ayudasteis,ayudaron
84,referir,ссылаться,refiero,refieres,refiere,referimos,referís,refieren,referiré,referirás,referirá,referiremos,referiréis,referirán,referí,referiste,refirió,referimos,referisteis,refirieron
85,defender,защищать,defiendo,defiendes,defiende,defendemos,defendéis,defienden,defenderé,defenderás,defenderá,defenderemos,defenderéis,defenderán,defendí,defendiste,defendió,defendimos,defendisteis,defendieron
86,explicar,объяснять,explico,explicas,explica,explicamos,explicáis,explican,explicaré,explicarás,explicará,explicaremos,explicaréis,explicarán,expliqué,explicaste,explicó,explicamos,explicasteis,explicaron
87,permanecer,оставаться,permanezco,permaneces,permanece,permanecemos,permanecéis,permanecen,permaneceré,permanecerás,permanecerá,permaneceremos,permaneceréis,permanecerán,permanecí,permaneciste,permaneció,permanecimos,permanecisteis,permanecieron
88,guardar,хранить,guardo,guardas,guarda,guardamos,guardáis,guardan,guardaré,guardarás,guardará,guardaremos,guardaréis,guardarán,guardé,guardaste,guardó,guardamos,guardasteis,guardaron
89,tocar,трогать,toco,tocas,toca,tocamos,tocáis,tocan,tocaré,tocarás,tocará,tocaremos,tocaréis,tocarán,toqué,tocaste,tocó,tocamos,tocasteis,tocaron
90,obtener,получать,obtengo,obtienes,obtiene,obtenemos,obtenéis,obtienen,obtendré,obtendrás,obtendrá,obtendremos,obtendréis,obtendrán,obtuve,obtuviste,obtuvo,obtuvimos,obtuvisteis,obtuvieron
91,ocurrir,происходить,ocurro,ocurres,ocurre,ocurrimos,ocurrís,ocurren,ocurriré,ocurrirás,ocurrirá,ocurriremos,ocurriréis,ocurrirán,ocurrí,ocurriste,ocurrió,ocurrimos,ocurristeis,ocurrieron
92,producir,производить,produzco,produces,produce,producimos,producís,producen,produciré,producirás,producirá,produciremos,produciréis,producirán,produje,produjiste,produjo,produjimos,produjisteis,produjeron
93,generar,генерировать,genero,generas,genera,generamos,generáis,generan,generaré,generarás,generará,generaremos,generaréis,generarán,generé,generaste,generó,generamos,generasteis,generaron
94,considerar,считать,considero,consideras,considera,consideramos,consideráis,consideran,consideraré,considerarás,considerará,consideraremos,consideraréis,considerarán,consideré,consideraste,consideró,consideramos,considerasteis,consideraron
95,recoger,собирать,recojo,recoges,recoge,recogemos,recogéis,recogen,recogeré,recogerás,recogerá,recogeremos,recogeréis,recogerán,recogí,recogiste,recogió,recogimos,recogisteis,recogieron
96,pretender,намереваться,pretendo,pretendes,pretende,pretendemos,pretendéis,pretenden,pretenderé,pretenderás,pretenderá,pretenderemos,pretenderéis,pretenderán,pretendí,pretendiste,pretendió,pretendimos,pretendisteis,pretendieron
97,observar,наблюдать,observo,observas,observa,observamos,observáis,observan,observaré,observarás,observará,observaremos,observaréis,observarán,observé,observaste,observó,observamos,observasteis,observaron
98,marcar,отмечать,marco,marcas,marca,marcamos,marcáis,marcan,marcaré,marcarás,marcará,marcaremos,marcaréis,marcarán,marqué,marcaste,marcó,marcamos,marcasteis,marcaron
99,lanzar,запускать,lanzo,lanzas,lanza,lanzamos,lanzáis,lanzan,lanzaré,lanzarás,lanzará,lanzaremos,lanzaréis,lanzarán,lancé,lanzaste,lanzó,lanzamos,lanzasteis,lanzaron
100,depender,зависеть,dependo,dependes,depende,dependemos,dependéis,dependen,dependeré,dependerás,dependerá,dependeremos,dependeréis,dependerán,dependí,dependiste,dependió,dependimos,dependisteis,dependieron
101,colocar,размещать,coloco,colocas,coloca,colocamos,colocáis,colocan,colocaré,colocarás,colocará,colocaremos,colocaréis,colocarán,coloqué,colocaste,colocó,colocamos,colocasteis,colocaron
102,afirmar,утверждать,afirmo,afirmas,afirma,afirmamos,afirmáis,afirman,afirmaré,afirmarás,afirmará,afirmaremos,afirmaréis,afirmarán,afirmé,afirmaste,afirmó,afirmamos,afirmasteis,afirmaron
103,cubrir,покрывать,cubro,cubres,cubre,cubrimos,cubrís,cubren,cubriré,cubrirás,cubrirá,cubriremos,cubriréis,cubrirán,cubrí,cubriste,cubrió,cubrimos,cubristeis,cubrieron
104,representar,представлять,represento,representas,representa,representamos,representáis,representan,representaré,representarás,representará,representaremos,representaréis,representarán,representé,representaste,representó,representamos,representasteis,representaron